epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3122.73,1.05073,1.08216,1.30606,0.62566,0.52194,0.46358,0.31094,1.82415,2.01931,2.09976,0.00037895,0.00037895,0.00037895
74,3164.82,1.05128,1.06167,1.31034,0.64074,0.49355,0.46212,0.3082,1.84309,2.04485,2.13457,0.000355301,0.000355301,0.000355301
75,3205.45,1.04203,1.0598,1.30196,0.62615,0.51935,0.45665,0.30631,1.79317,2.01273,2.09998,0.000332298,0.000332298,0.000332298
76,3245.17,1.02765,1.03665,1.2996,0.63034,0.50903,0.45422,0.30299,1.82344,2.01987,2.12496,0.000309964,0.000309964,0.000309964
77,3287.61,1.05515,1.07256,1.31164,0.60896,0.50258,0.46382,0.31211,1.83448,2.03922,2.13481,0.000288321,0.000288321,0.000288321
78,3327.98,1.02337,1.0467,1.29428,0.6142,0.50968,0.44022,0.29302,1.79548,2.02804,2.09902,0.00026739,0.00026739,0.00026739
79,3367.7,1.03522,1.0273,1.28929,0.63249,0.5071,0.45566,0.30282,1.80896,2.01037,2.10623,0.000247192,0.000247192,0.000247192
80,3410.11,1.0194,1.0481,1.28902,0.62423,0.52581,0.46069,0.30684,1.76621,1.98776,2.0895,0.000227747,0.000227747,0.000227747
81,3451.06,1.01781,1.0453,1.28165,0.6319,0.51355,0.4667,0.31263,1.81012,2.00703,2.1263,0.000209073,0.000209073,0.000209073
82,3491.05,1.00487,1.02912,1.28042,0.60544,0.5129,0.44694,0.29737,1.79012,2.0616,2.11882,0.00019119,0.00019119,0.00019119
83,3533.36,0.9977,1.00336,1.27928,0.63363,0.49161,0.45662,0.30923,1.82183,2.01803,2.16206,0.000174115,0.000174115,0.000174115
84,3575.55,0.99607,1.01555,1.28048,0.63296,0.50957,0.46418,0.31309,1.8028,1.99318,2.13529,0.000157865,0.000157865,0.000157865
85,3617.46,1.02882,1.03286,1.29337,0.64173,0.5,0.46983,0.31843,1.84027,2.01158,2.16876,0.000142456,0.000142456,0.000142456
86,3667.07,0.96107,0.99336,1.29306,0.64806,0.48232,0.4651,0.3147,1.81342,1.94304,2.13484,0.000127904,0.000127904,0.000127904
87,3708.14,0.94676,0.96808,1.27942,0.63145,0.50194,0.45732,0.30805,1.81679,1.98884,2.13007,0.000114221,0.000114221,0.000114221
88,3747.61,0.93767,0.94507,1.2581,0.63173,0.49912,0.45593,0.30691,1.81239,1.98636,2.1417,0.000101423,0.000101423,0.000101423
89,3788.86,0.94576,0.95487,1.26839,0.6631,0.48387,0.46072,0.31262,1.81783,1.99919,2.14942,8.95213e-05,8.95213e-05,8.95213e-05
90,3828.37,0.92685,0.93719,1.25964,0.62871,0.50645,0.46074,0.31213,1.8093,2.00522,2.13667,7.8528e-05,7.8528e-05,7.8528e-05
91,3870.18,0.93121,0.92971,1.26844,0.65449,0.48258,0.46077,0.31273,1.82359,2.00099,2.1519,6.8454e-05,6.8454e-05,6.8454e-05
92,3911.11,0.91593,0.89977,1.25208,0.6546,0.48258,0.46252,0.31331,1.82443,2.0054,2.15129,5.93093e-05,5.93093e-05,5.93093e-05
93,3953.05,0.91995,0.917,1.24728,0.64158,0.49548,0.46057,0.31221,1.81331,2.0057,2.14545,5.11027e-05,5.11027e-05,5.11027e-05
94,3994.76,0.91141,0.91353,1.2636,0.64646,0.48903,0.46091,0.3136,1.80758,2.00405,2.14358,4.38424e-05,4.38424e-05,4.38424e-05
95,4036.81,0.91275,0.90042,1.25123,0.63297,0.49623,0.46046,0.31162,1.81726,2.0171,2.14891,3.75356e-05,3.75356e-05,3.75356e-05
96,4079.07,0.9025,0.9064,1.24388,0.6337,0.49444,0.45706,0.30918,1.80252,2.00747,2.14098,3.21885e-05,3.21885e-05,3.21885e-05
97,4121.61,0.90974,0.89683,1.25464,0.63387,0.49613,0.46078,0.31263,1.81544,2.01823,2.15465,2.78064e-05,2.78064e-05,2.78064e-05
98,4163.05,0.90795,0.89783,1.241,0.63459,0.50129,0.46052,0.31418,1.80361,2.00631,2.14521,2.43937e-05,2.43937e-05,2.43937e-05
99,4205.46,0.91016,0.89932,1.24202,0.64263,0.48516,0.46484,0.31652,1.82617,2.01903,2.16766,2.19535e-05,2.19535e-05,2.19535e-05
100,4245.86,0.90769,0.89825,1.25177,0.63246,0.49161,0.46302,0.31574,1.82698,2.01392,2.17025,2.04885e-05,2.04885e-05,2.04885e-05
