epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3915.69,1.05442,1.02715,1.30985,0.55792,0.52323,0.38993,0.26086,1.79678,2.28193,2.12276,0.00397019,0.00397019,0.00397019
59,3986.69,1.03497,0.99723,1.2971,0.55923,0.50387,0.39595,0.26982,1.77096,2.26369,2.06285,0.00381899,0.00381899,0.00381899
60,4051.07,1.02574,0.9808,1.28777,0.57736,0.51548,0.42073,0.29139,1.80571,2.23159,2.09294,0.00366899,0.00366899,0.00366899
61,4115.78,1.03125,0.99646,1.28807,0.58999,0.52174,0.44486,0.30754,1.79804,2.07875,2.12626,0.00352037,0.00352037,0.00352037
62,4179.33,1.02167,0.97209,1.28841,0.56843,0.51806,0.42479,0.28645,1.85235,2.24754,2.15324,0.00337325,0.00337325,0.00337325
63,4247.81,1.01205,0.98208,1.28507,0.58448,0.51161,0.41738,0.2853,1.80362,2.25281,2.11066,0.00322778,0.00322778,0.00322778
64,4318.04,1.02024,0.99102,1.28934,0.55299,0.52839,0.41003,0.27654,1.78808,2.19691,2.07153,0.00308412,0.00308412,0.00308412
65,4386.37,0.98455,0.93201,1.26084,0.57485,0.50516,0.41306,0.28108,1.77588,2.25409,2.09795,0.00294239,0.00294239,0.00294239
66,4450.68,0.99672,0.96532,1.26817,0.58136,0.5,0.40674,0.27481,1.78979,2.27888,2.11624,0.00280275,0.00280275,0.00280275
67,4519.33,0.98689,0.92531,1.25742,0.60254,0.52903,0.41469,0.27829,1.83866,2.28746,2.16397,0.00266532,0.00266532,0.00266532
68,4587.93,0.98131,0.91916,1.26951,0.59288,0.52194,0.41898,0.27963,1.79521,2.24411,2.10929,0.00253024,0.00253024,0.00253024
69,4652.1,0.95933,0.90317,1.24247,0.57737,0.50581,0.40082,0.26931,1.82631,2.30212,2.16446,0.00239766,0.00239766,0.00239766
70,4716.08,0.97491,0.92352,1.25614,0.57059,0.53494,0.41248,0.28183,1.79705,2.24405,2.13662,0.00226769,0.00226769,0.00226769
71,4786.76,0.93499,0.89007,1.23952,0.60289,0.51226,0.43029,0.29574,1.80107,2.28155,2.11848,0.00214046,0.00214046,0.00214046
